label,text,category
1,"International Oil Company hiring Field Support Staff in Ibadan. Earn N350,000 monthly. Send application details via WhatsApp: 09032873342",fake_job
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
0,"Glo: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
0,"Glo: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,DEBT WARNING: OLUMIDE with phone 08029919848 is a chronic defaulter on FastCash. Pay your debt today to avoid publishing your BVN online.,loan_harassment
0,I have arrived at Surulere. Will call you once the meeting is done.,personal
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 08022915163 now.",ponzi
0,"Access Bank: Acct 012***2907 Debited: N5,000.00 Desc: POS PURCHASE - Kano. Bal: N29,000.00.",bank_alert
0,Guy how far? You go dey online tonight for the match? Make we talk football.,personal
1,"Federal Govt Empowerment Fund: You are eligible to receive N50,000 relief grant. Claim your grant here: http://fg-empowerment-ng.site",grant_fraud
1,"Credit Alert: N410,000.00 credited to your account from SUNDAY. Ref: TRX46314728. Call 09012124006 if you did not expect this payment.",fake_alert
1,"Get instant loan of N47,000 directly to your OPay account in 2 minutes! No document needed. Download: bit.ly/ng-loan-11",loan_scam
0,"MTN: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,"Central Bank Investment Scheme: N10,000 gives N30,000 in 24 hours. No loss. Call admin on 08169326334 now.",ponzi
0,9mobile: You have successfully activated 1.5GB Data Plan. Valid for 30 days. Dial *312# to check your data balance.,telco_info
1,"JOB OFFER: Urgently recruiting Admin Officers at Kano, Lagos. Salary: N180,000/month. Text YES to 08136998480 for interview invitation.",fake_job
1,"International Oil Company hiring Field Support Staff in Port Harcourt. Earn N350,000 monthly. Send application details via WhatsApp: 08123918867",fake_job
0,"MTN: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
1,URGENT: Your UBA account has been restricted due to unverified BVN. Call 08031995009 immediately to update your details.,banking_phishing
0,"Airtel: Dear Customer, you have used 80% of your daily data bundle. Dial *323# to buy a top-up.",telco_info
0,I have arrived at Ikeja. Will call you once the meeting is done.,personal
0,"Bro, abeg transfer N4,000 give me. I dey Abuja like this, money no dey my hand for transport.",personal
1,"ALERT: A transaction of N16,000 was attempted on your UBA app. If not you, click http://zenith-secure-portal.com to block account.",banking_phishing
0,"Bro, abeg transfer N9,000 give me. I dey Yaba like this, money no dey my hand for transport.",personal
1,"ALERT: A transaction of N22,000 was attempted on your Fidelity app. If not you, click http://firstbank-secure-portal.com to block account.",banking_phishing
1,"ALERT: A transaction of N11,000 was attempted on your Access Bank app. If not you, click http://zenith-secure-portal.com to block account.",banking_phishing
1,URGENT: Your Access Bank account has been restricted due to unverified NIN. Call 08126481312 immediately to update your details.,banking_phishing
0,"OPay: Acct 012***6307 Debited: N8,000.00 Desc: POS PURCHASE - Kano. Bal: N27,000.00.",bank_alert
1,URGENT: Your Fidelity account has been restricted due to unverified BVN. Call 08131586904 immediately to update your details.,banking_phishing
0,Good morning ma. Please remember to buy bread and sachet water on your way back from work.,personal
0,"Access Bank: Your One Time Password (OTP) is 502890 for transfer of N3,000.00 to ADAMU. Valid for 5 minutes. DO NOT SHARE.",otp
0,"PalmPay: Acct 012***3846 Debited: N6,000.00 Desc: POS PURCHASE - Yaba. Bal: N32,000.00.",bank_alert
0,"PalmPay: Your One Time Password (OTP) is 747637 for transfer of N5,000.00 to CHUKWUEMEKA. Valid for 5 minutes. DO NOT SHARE.",otp
1,"Invest N6,000 and get N38,000 in 45 minutes! 100% paying platform guaranteed. Join Telegram: t.me/ng_crypto_doubler",ponzi
0,"GTBank: Acct 012***3822 Debited: N1,000.00 Desc: POS PURCHASE - Yaba. Bal: N44,000.00.",bank_alert
